image_path,label,class_name,fold
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2243.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2370.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca688.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1863.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1266.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1643.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4588.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2672.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4757.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4763.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca26.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca87.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca3004.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca3681.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca577.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1979.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1727.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1749.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2495.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca230.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4494.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca3886.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1011.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca197.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca3222.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4510.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2210.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1624.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca3079.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1839.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1566.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1138.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca3595.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca250.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca336.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2073.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2061.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4206.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca63.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2582.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1014.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2933.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca3358.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2565.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2306.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4816.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4390.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2078.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2454.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca860.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca3808.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2441.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca792.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1740.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2117.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1712.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1981.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca3253.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2799.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2867.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2019.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4425.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1297.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2923.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4225.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca895.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca644.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca3226.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca357.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2030.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2305.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4718.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4547.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1078.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2948.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4527.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1821.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca605.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1695.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca3891.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1921.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2340.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca191.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4308.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2884.jpeg,0,colon_aca,1
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1800.jpeg,0,colon_aca,4
